Id_Index;ExecTime(s);Mutant
116;157;BrowserUtils_4_LengthyGUIListenerOperatorMutator
117;157;BrowserUtils_5_BuggyGUIListenerOperatorMutator
118;157;BrowserUtils_6_LengthyGUIListenerOperatorMutator
119;154;NoteUtils_0_NullIntentOperatorMutator
120;156;NoteUtils_1_RandomActionIntentDefinitionOperatorMutator
121;155;NoteUtils_2_NullValueIntentPutExtraOperatorMutator
122;154;NoteUtils_3_IntentPayloadReplacementOperatorMutator
123;153;NoteUtils_4_RandomActionIntentDefinitionOperatorMutator
124;153;NoteUtils_5_BuggyGUIListenerOperatorMutator
125;156;NoteUtils_6_LengthyGUIListenerOperatorMutator
126;158;ChecklistUtils_0_BinaryMutator
127;157;ChecklistUtils_1_BinaryMutator
128;155;ChecklistUtils_2_BinaryMutator
129;158;ChecklistUtils_3_BinaryMutator
130;156;ChecklistUtils_4_BinaryMutator
131;157;ChecklistUtils_5_BinaryMutator
132;162;ChecklistUtils_6_BinaryMutator
133;155;ChecklistUtils_7_BinaryMutator
134;157;ChecklistUtils_8_BinaryMutator
135;160;ChecklistUtils_9_BinaryMutator
136;160;ChecklistUtils_10_BinaryMutator
137;157;NetworkUtils_0_BinaryMutator
138;157;NetworkUtils_1_BinaryMutator
139;157;NetworkUtils_2_BinaryMutator
140;158;NetworkUtils_3_BinaryMutator
141;157;SimplenoteMovementMethod_0_BinaryMutator
142;158;MatchOffsetHighlighter_0_BinaryMutator
143;158;MatchOffsetHighlighter_1_BinaryMutator
144;155;MatchOffsetHighlighter_2_BinaryMutator
145;157;MatchOffsetHighlighter_3_BinaryMutator
146;158;MatchOffsetHighlighter_4_BinaryMutator
147;155;MatchOffsetHighlighter_5_BinaryMutator
148;155;MatchOffsetHighlighter_6_BinaryMutator
149;157;MatchOffsetHighlighter_7_BinaryMutator
150;158;MatchOffsetHighlighter_8_BinaryMutator
151;158;MatchOffsetHighlighter_9_BinaryMutator
152;156;MatchOffsetHighlighter_10_BinaryMutator
153;155;DrawableUtils_0_BinaryMutator
154;159;DisplayUtils_0_BinaryMutator
155;6371;SimplenoteSignupActivity_0_LengthyGUICreationOperatorMutator
156;156;SimplenoteSignupActivity_1_FindViewByIdReturnsNullOperatorMutator
157;154;SimplenoteSignupActivity_2_InvalidIDFindViewOperatorMutator
158;153;SimplenoteSignupActivity_3_InvalidViewFocusOperatorMutator
159;152;SimplenoteSignupActivity_4_ViewComponentNotVisibleOperatorMutator
160;153;SignupFragment_0_InvalidViewFocusOperatorMutator
161;153;SignupFragment_1_ViewComponentNotVisibleOperatorMutator
162;155;SignupFragment_2_BuggyGUIListenerOperatorMutator
163;151;SignupFragment_3_LengthyGUIListenerOperatorMutator
164;156;SignupFragment_4_BuggyGUIListenerOperatorMutator
165;154;SignupFragment_5_LengthyGUIListenerOperatorMutator
166;155;SimplenoteAuthenticationActivity_0_NullIntentOperatorMutator
167;152;SimplenoteAuthenticationActivity_1_InvalidKeyIntentOperatorMutator
168;153;SimplenoteAuthenticationActivity_2_RandomActionIntentDefinitionOperatorMutator
169;153;SimplenoteAuthenticationActivity_3_NullIntentOperatorMutator
170;153;SimplenoteAuthenticationActivity_4_InvalidKeyIntentOperatorMutator
171;154;SimplenoteAuthenticationActivity_5_RandomActionIntentDefinitionOperatorMutator
172;152;SimplenoteAuthenticationActivity_6_NullValueIntentPutExtraOperatorMutator
173;152;SimplenoteAuthenticationActivity_7_IntentPayloadReplacementOperatorMutator
174;153;SimplenoteAuthenticationActivity_8_RandomActionIntentDefinitionOperatorMutator
175;153;SimplenoteAuthenticationActivity_9_RandomActionIntentDefinitionOperatorMutator
176;153;NoteWidgetLight_0_NullIntentOperatorMutator
177;154;NoteWidgetLight_1_InvalidKeyIntentOperatorMutator
178;152;NoteWidgetLight_2_RandomActionIntentDefinitionOperatorMutator
179;152;NoteWidgetLight_3_NullValueIntentPutExtraOperatorMutator
180;151;NoteWidgetLight_4_IntentPayloadReplacementOperatorMutator
181;153;NoteWidgetLight_5_RandomActionIntentDefinitionOperatorMutator
182;153;NoteWidgetLight_6_RandomActionIntentDefinitionOperatorMutator
183;154;NoteWidgetLight_7_NullIntentOperatorMutator
184;153;NoteWidgetLight_8_InvalidKeyIntentOperatorMutator
185;153;NoteWidgetLight_9_RandomActionIntentDefinitionOperatorMutator
186;151;NoteWidgetLight_10_RandomActionIntentDefinitionOperatorMutator
187;153;NoteWidgetLight_11_NullValueIntentPutExtraOperatorMutator
188;152;NoteWidgetLight_12_IntentPayloadReplacementOperatorMutator
189;153;NoteWidgetLight_13_RandomActionIntentDefinitionOperatorMutator
190;154;NoteWidgetLight_14_RandomActionIntentDefinitionOperatorMutator
191;153;NoteWidgetLight_15_BinaryMutator
192;154;NoteWidgetLight_16_NullIntentOperatorMutator
193;153;NoteWidgetLight_17_InvalidKeyIntentOperatorMutator
194;156;NoteWidgetLight_18_RandomActionIntentDefinitionOperatorMutator
195;151;NoteWidgetLight_19_RandomActionIntentDefinitionOperatorMutator
196;152;NoteWidgetLight_20_NullValueIntentPutExtraOperatorMutator
197;152;NoteWidgetLight_21_IntentPayloadReplacementOperatorMutator
198;153;NoteWidgetLight_22_RandomActionIntentDefinitionOperatorMutator
199;153;NoteWidgetLight_23_NullValueIntentPutExtraOperatorMutator
200;152;NoteWidgetLight_24_IntentPayloadReplacementOperatorMutator
201;154;NoteWidgetLight_25_RandomActionIntentDefinitionOperatorMutator
202;153;BottomSheetDialogBase_0_InvalidViewFocusOperatorMutator
203;154;BottomSheetDialogBase_1_ViewComponentNotVisibleOperatorMutator
204;151;AboutFragment_0_InvalidViewFocusOperatorMutator
205;154;AboutFragment_1_ViewComponentNotVisibleOperatorMutator
206;152;AboutFragment_2_InvalidViewFocusOperatorMutator
207;151;AboutFragment_3_ViewComponentNotVisibleOperatorMutator
