ORIGINAL_PROGRAM;-1
AlarmRestoreOnRebootService_0_NullIntentOperatorMutator;27
AlarmRestoreOnRebootService_1_InvalidKeyIntentOperatorMutator;1027
AlarmRestoreOnRebootService_2_RandomActionIntentDefinitionOperatorMutator;2027
CategoryMenuTask_0_InvalidViewFocusOperatorMutator;29
CategoryMenuTask_1_ViewComponentNotVisibleOperatorMutator;1029
CategoryMenuTask_2_InvalidViewFocusOperatorMutator;2029
CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator;3029
CategoryMenuTask_4_InvalidViewFocusOperatorMutator;4029
CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator;5029
CategoryMenuTask_6_BinaryMutator;6029
CategoryMenuTask_7_BuggyGUIListenerOperatorMutator;7029
CategoryMenuTask_8_InvalidKeyIntentOperatorMutator;8029
CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator;9029
MainMenuTask_0_InvalidViewFocusOperatorMutator;30
MainMenuTask_1_ViewComponentNotVisibleOperatorMutator;1030
MainMenuTask_2_RandomActionIntentDefinitionOperatorMutator;2030
DataBackupIntentService_0_NullIntentOperatorMutator;32
DataBackupIntentService_1_InvalidKeyIntentOperatorMutator;1032
DataBackupIntentService_2_RandomActionIntentDefinitionOperatorMutator;2032
DataBackupIntentService_3_RandomActionIntentDefinitionOperatorMutator;3032
DataBackupIntentService_4_NullIntentOperatorMutator;4032
DataBackupIntentService_5_RandomActionIntentDefinitionOperatorMutator;5032
DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator;6032
DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator;7032
DbHelper_0_BinaryMutator;34
DbHelper_1_BinaryMutator;1034
DbHelper_2_BinaryMutator;2034
NotificationListener_0_LengthyGUICreationOperatorMutator;43
RecyclerViewItemClickSupport_0_LengthyGUIListenerOperatorMutator;53
AttachmentAdapter_0_InvalidViewFocusOperatorMutator;58
AttachmentAdapter_1_ViewComponentNotVisibleOperatorMutator;1058
AttachmentAdapter_2_InvalidViewFocusOperatorMutator;2058
AttachmentAdapter_3_ViewComponentNotVisibleOperatorMutator;3058
NavDrawerAdapter_0_InvalidViewFocusOperatorMutator;59
NavDrawerAdapter_1_ViewComponentNotVisibleOperatorMutator;1059
NavDrawerAdapter_2_InvalidViewFocusOperatorMutator;2059
NavDrawerAdapter_3_ViewComponentNotVisibleOperatorMutator;3059
VerticalSeekBar_0_BinaryMutator;63
VerticalSeekBar_1_BinaryMutator;1063
VerticalSeekBar_2_BinaryMutator;2063
SketchView_0_BinaryMutator;66
SketchView_1_BinaryMutator;1066
SketchView_2_BinaryMutator;2066
SketchView_3_BinaryMutator;3066
SketchView_4_BinaryMutator;4066
SketchView_5_BinaryMutator;5066
NonScrollableListView_0_BinaryMutator;67
NonScrollableListView_1_BinaryMutator;1067
NonScrollableListView_2_BinaryMutator;2067
Fab_0_InvalidViewFocusOperatorMutator;68
Fab_1_ViewComponentNotVisibleOperatorMutator;1068
Fab_2_BuggyGUIListenerOperatorMutator;2068
Fab_3_InvalidViewFocusOperatorMutator;3068
Fab_4_ViewComponentNotVisibleOperatorMutator;4068
Fab_5_BinaryMutator;5068
Fab_6_BuggyGUIListenerOperatorMutator;6068
Fab_7_BuggyGUIListenerOperatorMutator;7068
UndoBarController_0_InvalidViewFocusOperatorMutator;72
UndoBarController_1_ViewComponentNotVisibleOperatorMutator;1072
UndoBarController_2_InvalidViewFocusOperatorMutator;2072
UndoBarController_3_ViewComponentNotVisibleOperatorMutator;3072
UndoBarController_4_BuggyGUIListenerOperatorMutator;4072
UndoBarController_5_LengthyGUIListenerOperatorMutator;5072
Stats_0_BinaryMutator;75
Stats_1_BinaryMutator;1075
DateUtils_0_BinaryMutator;83
DateUtils_1_BinaryMutator;1083
AnimationsHelper_0_BinaryMutator;85
AnimationsHelper_1_BinaryMutator;1085
AnimationsHelper_2_BinaryMutator;2085
AnimationsHelper_3_BinaryMutator;3085
AnimationsHelper_4_BinaryMutator;4085
AnimationsHelper_5_BinaryMutator;5085
AnimationsHelper_6_BinaryMutator;6085
AnimationsHelper_7_BinaryMutator;7085
AnimationsHelper_8_BinaryMutator;8085
AnimationsHelper_9_BinaryMutator;9085
PasswordHelper_0_InvalidViewFocusOperatorMutator;89
PasswordHelper_1_ViewComponentNotVisibleOperatorMutator;1089
PasswordHelper_2_InvalidViewFocusOperatorMutator;2089
PasswordHelper_3_ViewComponentNotVisibleOperatorMutator;3089
Display_0_BinaryMutator;93
Display_1_BinaryMutator;1093
Display_2_BinaryMutator;2093
Display_3_BinaryMutator;3093
ReminderHelper_0_NullIntentOperatorMutator;94
ReminderHelper_1_InvalidKeyIntentOperatorMutator;1094
ReminderHelper_2_RandomActionIntentDefinitionOperatorMutator;2094
ReminderHelper_3_NullValueIntentPutExtraOperatorMutator;3094
ReminderHelper_4_IntentPayloadReplacementOperatorMutator;4094
