2024-03-20 13:29:56.999773728+00:00 - START TIME
2024-03-20 14:21:48.437376435+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:21:48.438238750+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:21:48.614902770+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:28:45.215611818+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_6_InvalidViewFocusOperatorMutator
2024-03-20 14:28:45.219810447+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:28:45.227083388+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:28:48.312859139+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:28:48.313851318+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:28:48.478821825+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:35:45.845222889+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_7_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:35:45.849108913+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
2024-03-20 14:35:45.858303987+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
2024-03-20 14:35:49.013895877+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
2024-03-20 14:35:49.014806321+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
2024-03-20 14:35:49.384429487+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
2024-03-20 14:42:45.328839024+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_8_InvalidViewFocusOperatorMutator
2024-03-20 14:42:45.332024503+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:42:45.338839978+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:42:48.357491722+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:42:48.358474562+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:42:48.549154514+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:49:44.827287808+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_9_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:49:44.833671902+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
2024-03-20 14:49:44.840545743+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
2024-03-20 14:49:47.807148000+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
2024-03-20 14:49:47.808088298+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
2024-03-20 14:49:47.977667365+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
2024-03-20 14:56:45.512037120+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_10_InvalidViewFocusOperatorMutator
2024-03-20 14:56:45.515098755+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
