"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
113;154;17615;2,26;259,04;377;19381;5,54;285,01
114;155;17770;2,28;261,32;651;20032;9,57;294,59
115;154;17924;2,26;263,59;170;20202;2,50;297,09
116;157;18081;2,31;265,90;170;20372;2,50;299,59
117;157;18238;2,31;268,21;170;20542;2,50;302,09
118;157;18395;2,31;270,51;170;20712;2,50;304,59
119;154;18549;2,26;272,78;170;20882;2,50;307,09
120;156;18705;2,29;275,07;170;21052;2,50;309,59
121;155;18860;2,28;277,35;169;21221;2,49;312,07
122;154;19014;2,26;279,62;174;21395;2,56;314,63
123;153;19167;2,25;281,87;172;21567;2,53;317,16
124;153;19320;2,25;284,12;170;21737;2,50;319,66
125;156;19476;2,29;286,41;204;21941;3,00;322,66
126;158;19634;2,32;288,74;166;22107;2,44;325,10
127;157;19791;2,31;291,04;166;22273;2,44;327,54
128;155;19946;2,28;293,32;169;22442;2,49;330,03
129;158;20104;2,32;295,65;168;22610;2,47;332,50
130;156;20260;2,29;297,94;170;22780;2,50;335,00
131;157;20417;2,31;300,25;172;22952;2,53;337,53
132;162;20579;2,38;302,63;172;23124;2,53;340,06
133;155;20734;2,28;304,91;166;23290;2,44;342,50
134;157;20891;2,31;307,22;168;23458;2,47;344,97
135;160;21051;2,35;309,57;169;23627;2,49;347,46
136;160;21211;2,35;311,93;166;23793;2,44;349,90
137;157;21368;2,31;314,24;167;23960;2,46;352,35
138;157;21525;2,31;316,54;166;24126;2,44;354,79
139;157;21682;2,31;318,85;165;24291;2,43;357,22
140;158;21840;2,32;321,18;167;24458;2,46;359,68
141;157;21997;2,31;323,49;169;24627;2,49;362,16
142;158;22155;2,32;325,81;167;24794;2,46;364,62
143;158;22313;2,32;328,13;169;24963;2,49;367,10
144;155;22468;2,28;330,41;169;25132;2,49;369,59
145;157;22625;2,31;332,72;169;25301;2,49;372,07
146;158;22783;2,32;335,04;169;25470;2,49;374,56
147;155;22938;2,28;337,32;168;25638;2,47;377,03
148;155;23093;2,28;339,60;167;25805;2,46;379,49
149;157;23250;2,31;341,91;167;25972;2,46;381,94
150;158;23408;2,32;344,24;171;26143;2,51;384,46
151;158;23566;2,32;346,56;170;26313;2,50;386,96
152;156;23722;2,29;348,85;171;26484;2,51;389,47
153;155;23877;2,28;351,13;168;26652;2,47;391,94
154;159;24036;2,34;353,47;169;26821;2,49;394,43
155;157;24193;2,31;355,78;168;26989;2,47;396,90
156;156;24349;2,29;358,07;167;27156;2,46;399,35
157;154;24503;2,26;360,34;166;27322;2,44;401,79
158;153;24656;2,25;362,59;168;27490;2,47;404,26
159;152;24808;2,24;364,82;168;27658;2,47;406,74
160;153;24961;2,25;367,07;169;27827;2,49;409,22
161;153;25114;2,25;369,32;166;27993;2,44;411,66
162;155;25269;2,28;371,60;170;28163;2,50;414,16
163;151;25420;2,22;373,82;167;28330;2,46;416,62
164;156;25576;2,29;376,12;169;28499;2,49;419,10
165;154;25730;2,26;378,38;168;28667;2,47;421,57
166;155;25885;2,28;380,66;169;28836;2,49;424,06
167;152;26037;2,24;382,90;168;29004;2,47;426,53
168;153;26190;2,25;385,15;169;29173;2,49;429,01
169;153;26343;2,25;387,40;167;29340;2,46;431,47
170;153;26496;2,25;389,65;168;29508;2,47;433,94
171;154;26650;2,26;391,91;169;29677;2,49;436,43
172;152;26802;2,24;394,15;166;29843;2,44;438,87
173;152;26954;2,24;396,38;168;30011;2,47;441,34
174;153;27107;2,25;398,63;168;30179;2,47;443,81
175;153;27260;2,25;400,88;167;30346;2,46;446,26
176;153;27413;2,25;403,13;168;30514;2,47;448,74
177;154;27567;2,26;405,40;170;30684;2,50;451,24
178;152;27719;2,24;407,63;168;30852;2,47;453,71
179;152;27871;2,24;409,87;167;31019;2,46;456,16
180;151;28022;2,22;412,09;168;31187;2,47;458,63
181;153;28175;2,25;414,34;168;31355;2,47;461,10
182;153;28328;2,25;416,59;168;31523;2,47;463,57
183;154;28482;2,26;418,85;167;31690;2,46;466,03
184;153;28635;2,25;421,10;170;31860;2,50;468,53
185;153;28788;2,25;423,35;169;32029;2,49;471,01
186;151;28939;2,22;425,57;168;32197;2,47;473,49
187;153;29092;2,25;427,82;166;32363;2,44;475,93
188;152;29244;2,24;430,06;170;32533;2,50;478,43
189;153;29397;2,25;432,31;168;32701;2,47;480,90
190;154;29551;2,26;434,57;169;32870;2,49;483,38
191;153;29704;2,25;436,82;168;33038;2,47;485,85
192;154;29858;2,26;439,09;169;33207;2,49;488,34
193;153;30011;2,25;441,34;169;33376;2,49;490,82
194;156;30167;2,29;443,63;168;33544;2,47;493,29
195;151;30318;2,22;445,85;169;33713;2,49;495,78
196;152;30470;2,24;448,09;168;33881;2,47;498,25
197;152;30622;2,24;450,32;169;34050;2,49;500,74
198;153;30775;2,25;452,57;168;34218;2,47;503,21
199;153;30928;2,25;454,82;168;34386;2,47;505,68
200;152;31080;2,24;457,06;168;34554;2,47;508,15
201;154;31234;2,26;459,32;169;34723;2,49;510,63
202;153;31387;2,25;461,57;171;34894;2,51;513,15
203;154;31541;2,26;463,84;168;35062;2,47;515,62
204;151;31692;2,22;466,06;167;35229;2,46;518,07
205;154;31846;2,26;468,32;167;35396;2,46;520,53
206;152;31998;2,24;470,56;169;35565;2,49;523,01
207;151;32149;2,22;472,78;167;35732;2,46;525,47
208;155;32304;2,28;475,06;168;35900;2,47;527,94
209;156;32460;2,29;477,35;169;36069;2,49;530,43
210;152;32612;2,24;479,59;167;36236;2,46;532,88
211;152;32764;2,24;481,82;167;36403;2,46;535,34
212;155;32919;2,28;484,10;169;36572;2,49;537,82
213;153;33072;2,25;486,35;168;36740;2,47;540,29
214;153;33225;2,25;488,60;168;36908;2,47;542,76
215;152;33377;2,24;490,84;170;37078;2,50;545,26
216;156;33533;2,29;493,13;169;37247;2,49;547,75
217;153;33686;2,25;495,38;169;37416;2,49;550,24
218;151;33837;2,22;497,60;167;37583;2,46;552,69
219;152;33989;2,24;499,84;167;37750;2,46;555,15
220;154;34143;2,26;502,10;169;37919;2,49;557,63
221;154;34297;2,26;504,37;168;38087;2,47;560,10
222;153;34450;2,25;506,62;167;38254;2,46;562,56
223;154;34604;2,26;508,88;171;38425;2,51;565,07
224;154;34758;2,26;511,15;169;38594;2,49;567,56
225;154;34912;2,26;513,41;168;38762;2,47;570,03
226;154;35066;2,26;515,68;170;38932;2,50;572,53
227;153;35219;2,25;517,93;168;39100;2,47;575,00
228;155;35374;2,28;520,21;167;39267;2,46;577,46
229;152;35526;2,24;522,44;168;39435;2,47;579,93
230;154;35680;2,26;524,71;171;39606;2,51;582,44
231;152;35832;2,24;526,94;171;39777;2,51;584,96
232;155;35987;2,28;529,22;174;39951;2,56;587,51
233;154;36141;2,26;531,49;172;40123;2,53;590,04
234;154;36295;2,26;533,75;174;40297;2,56;592,60
235;153;36448;2,25;536,00;173;40470;2,54;595,15
236;154;36602;2,26;538,26;167;40637;2,46;597,60
237;153;36755;2,25;540,51;171;40808;2,51;600,12
238;152;36907;2,24;542,75;171;40979;2,51;602,63
239;162;37069;2,38;545,13;171;41150;2,51;605,15
240;153;37222;2,25;547,38;174;41324;2,56;607,71
241;155;37377;2,28;549,66;172;41496;2,53;610,24
242;155;37532;2,28;551,94;167;41663;2,46;612,69
243;153;37685;2,25;554,19;169;41832;2,49;615,18
244;154;37839;2,26;556,46;169;42001;2,49;617,66
245;156;37995;2,29;558,75;171;42172;2,51;620,18
246;154;38149;2,26;561,01;170;42342;2,50;622,68
247;154;38303;2,26;563,28;170;42512;2,50;625,18
248;155;38458;2,28;565,56;171;42683;2,51;627,69
249;153;38611;2,25;567,81;171;42854;2,51;630,21
250;152;38763;2,24;570,04;169;43023;2,49;632,69
251;152;38915;2,24;572,28;169;43192;2,49;635,18
252;154;39069;2,26;574,54;169;43361;2,49;637,66
253;156;39225;2,29;576,84;170;43531;2,50;640,16
254;155;39380;2,28;579,12;169;43700;2,49;642,65
255;155;39535;2,28;581,40;169;43869;2,49;645,13
256;152;39687;2,24;583,63;171;44040;2,51;647,65
257;154;39841;2,26;585,90;169;44209;2,49;650,13
258;154;39995;2,26;588,16;169;44378;2,49;652,62
259;430;40425;6,32;594,49;172;44550;2,53;655,15
260;152;40577;2,24;596,72;170;44720;2,50;657,65
261;152;40729;2,24;598,96;171;44891;2,51;660,16
262;152;40881;2,24;601,19;170;45061;2,50;662,66
263;153;41034;2,25;603,44;170;45231;2,50;665,16
264;154;41188;2,26;605,71;167;45398;2,46;667,62
265;154;41342;2,26;607,97;169;45567;2,49;670,10
266;154;41496;2,26;610,24;170;45737;2,50;672,60
267;155;41651;2,28;612,51;169;45906;2,49;675,09
268;152;41803;2,24;614,75;169;46075;2,49;677,57
269;154;41957;2,26;617,01;169;46244;2,49;680,06
270;153;42110;2,25;619,26;168;46412;2,47;682,53
271;153;42263;2,25;621,51;171;46583;2,51;685,04
272;153;42416;2,25;623,76;166;46749;2,44;687,49
273;154;42570;2,26;626,03;170;46919;2,50;689,99
274;152;42722;2,24;628,26;172;47091;2,53;692,51
275;154;42876;2,26;630,53;168;47259;2,47;694,99
276;156;43032;2,29;632,82;168;47427;2,47;697,46
277;155;43187;2,28;635,10;167;47594;2,46;699,91
278;152;43339;2,24;637,34;168;47762;2,47;702,38
279;156;43495;2,29;639,63;170;47932;2,50;704,88
280;153;43648;2,25;641,88;169;48101;2,49;707,37
281;152;43800;2,24;644,12;170;48271;2,50;709,87
282;154;43954;2,26;646,38;170;48441;2,50;712,37
283;154;44108;2,26;648,65;172;48613;2,53;714,90
284;155;44263;2,28;650,93;169;48782;2,49;717,38
285;152;44415;2,24;653,16;168;48950;2,47;719,85
286;154;44569;2,26;655,43;168;49118;2,47;722,32
287;153;44722;2,25;657,68;170;49288;2,50;724,82
288;155;44877;2,28;659,96;169;49457;2,49;727,31
289;155;45032;2,28;662,24;168;49625;2,47;729,78
290;155;45187;2,28;664,51;169;49794;2,49;732,26
291;154;45341;2,26;666,78;167;49961;2,46;734,72
292;155;45496;2,28;669,06;169;50130;2,49;737,21
293;152;45648;2,24;671,29;169;50299;2,49;739,69
294;153;45801;2,25;673,54;172;50471;2,53;742,22
295;155;45956;2,28;675,82;170;50641;2,50;744,72
296;153;46109;2,25;678,07;170;50811;2,50;747,22
297;154;46263;2,26;680,34;169;50980;2,49;749,71
298;155;46418;2,28;682,62;171;51151;2,51;752,22
299;155;46573;2,28;684,90;170;51321;2,50;754,72
300;155;46728;2,28;687,18;171;51492;2,51;757,24
301;155;46883;2,28;689,46;168;51660;2,47;759,71
302;154;47037;2,26;691,72;167;51827;2,46;762,16
303;154;47191;2,26;693,99;169;51996;2,49;764,65
304;156;47347;2,29;696,28;169;52165;2,49;767,13
305;154;47501;2,26;698,54;168;52333;2,47;769,60
306;151;47652;2,22;700,76;169;52502;2,49;772,09
307;154;47806;2,26;703,03;169;52671;2,49;774,57
308;156;47962;2,29;705,32;169;52840;2,49;777,06
309;156;48118;2,29;707,62;170;53010;2,50;779,56
310;154;48272;2,26;709,88;167;53177;2,46;782,01
311;154;48426;2,26;712,15;170;53347;2,50;784,51
312;202;48628;2,97;715,12;170;53517;2,50;787,01
313;151;48779;2,22;717,34;171;53688;2,51;789,53
