"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
113;392;46347;4,08;482,78;421;49191;4,39;512,41
114;389;46736;4,05;486,83;410;49601;4,27;516,68
115;386;47122;4,02;490,85;409;50010;4,26;520,94
116;391;47513;4,07;494,93;418;50428;4,35;525,29
117;394;47907;4,10;499,03;414;50842;4,31;529,60
118;394;48301;4,10;503,14;414;51256;4,31;533,92
119;389;48690;4,05;507,19;413;51669;4,30;538,22
120;397;49087;4,14;511,32;414;52083;4,31;542,53
121;393;49480;4,09;515,42;417;52500;4,34;546,88
122;395;49875;4,11;519,53;419;52919;4,36;551,24
123;394;50269;4,10;523,64;415;53334;4,32;555,56
124;394;50663;4,10;527,74;414;53748;4,31;559,88
125;391;51054;4,07;531,81;416;54164;4,33;564,21
126;391;51445;4,07;535,89;415;54579;4,32;568,53
127;394;51839;4,10;539,99;417;54996;4,34;572,88
128;390;52229;4,06;544,05;417;55413;4,34;577,22
129;389;52618;4,05;548,10;419;55832;4,36;581,58
130;391;53009;4,07;552,18;458;56290;4,77;586,35
131;396;53405;4,13;556,30;419;56709;4,36;590,72
132;393;53798;4,09;560,40;418;57127;4,35;595,07
133;447;54245;4,66;565,05;420;57547;4,38;599,45
134;392;54637;4,08;569,14;424;57971;4,42;603,86
135;396;55033;4,13;573,26;416;58387;4,33;608,20
136;398;55431;4,15;577,41;415;58802;4,32;612,52
137;399;55830;4,16;581,56;420;59222;4,38;616,90
138;392;56222;4,08;585,65;422;59644;4,40;621,29
139;392;56614;4,08;589,73;416;60060;4,33;625,63
140;399;57013;4,16;593,89;416;60476;4,33;629,96
141;396;57409;4,13;598,01;419;60895;4,36;634,32
142;398;57807;4,15;602,16;428;61323;4,46;638,78
143;395;58202;4,11;606,27;416;61739;4,33;643,11
144;393;58595;4,09;610,36;416;62155;4,33;647,45
145;400;58995;4,17;614,53;416;62571;4,33;651,78
146;396;59391;4,13;618,66;420;62991;4,38;656,16
147;392;59783;4,08;622,74;414;63405;4,31;660,47
148;398;60181;4,15;626,89;420;63825;4,38;664,84
149;396;60577;4,13;631,01;419;64244;4,36;669,21
150;393;60970;4,09;635,10;413;64657;4,30;673,51
151;396;61366;4,13;639,23;417;65074;4,34;677,85
152;393;61759;4,09;643,32;416;65490;4,33;682,19
153;393;62152;4,09;647,42;416;65906;4,33;686,52
154;393;62545;4,09;651,51;415;66321;4,32;690,84
155;390;62935;4,06;655,57;415;66736;4,32;695,17
156;389;63324;4,05;659,63;416;67152;4,33;699,50
157;391;63715;4,07;663,70;417;67569;4,34;703,84
158;390;64105;4,06;667,76;414;67983;4,31;708,16
159;395;64500;4,11;671,88;416;68399;4,33;712,49
160;394;64894;4,10;675,98;417;68816;4,34;716,83
161;393;65287;4,09;680,07;418;69234;4,35;721,19
162;394;65681;4,10;684,18;416;69650;4,33;725,52
163;393;66074;4,09;688,27;457;70107;4,76;730,28
164;393;66467;4,09;692,36;423;70530;4,41;734,69
165;394;66861;4,10;696,47;417;70947;4,34;739,03
166;390;67251;4,06;700,53;416;71363;4,33;743,36
167;395;67646;4,11;704,65;416;71779;4,33;747,70
168;393;68039;4,09;708,74;417;72196;4,34;752,04
169;395;68434;4,11;712,85;415;72611;4,32;756,36
170;395;68829;4,11;716,97;423;73034;4,41;760,77
171;393;69222;4,09;721,06;420;73454;4,38;765,15
172;395;69617;4,11;725,18;418;73872;4,35;769,50
173;394;70011;4,10;729,28;415;74287;4,32;773,82
174;393;70404;4,09;733,38;414;74701;4,31;778,14
175;385;70789;4,01;737,39;410;75111;4,27;782,41
176;393;71182;4,09;741,48;417;75528;4,34;786,75
177;394;71576;4,10;745,58;415;75943;4,32;791,07
178;322;71898;3,35;748,94;347;76290;3,61;794,69
179;393;72291;4,09;753,03;429;76719;4,47;799,16
180;381;72672;3,97;757,00;411;77130;4,28;803,44
181;325;72997;3,39;760,39;349;77479;3,64;807,07
182;362;73359;3,77;764,16;386;77865;4,02;811,09
183;395;73754;4,11;768,27;418;78283;4,35;815,45
184;393;74147;4,09;772,36;419;78702;4,36;819,81
185;394;74541;4,10;776,47;417;79119;4,34;824,16
186;392;74933;4,08;780,55;417;79536;4,34;828,50
187;387;75320;4,03;784,58;418;79954;4,35;832,85
188;393;75713;4,09;788,68;416;80370;4,33;837,19
189;395;76108;4,11;792,79;417;80787;4,34;841,53
190;392;76500;4,08;796,88;418;81205;4,35;845,89
191;395;76895;4,11;800,99;415;81620;4,32;850,21
192;396;77291;4,13;805,11;417;82037;4,34;854,55
193;395;77686;4,11;809,23;416;82453;4,33;858,89
194;393;78079;4,09;813,32;418;82871;4,35;863,24
195;393;78472;4,09;817,42;416;83287;4,33;867,57
196;392;78864;4,08;821,50;418;83705;4,35;871,93
197;397;79261;4,14;825,64;433;84138;4,51;876,44
198;397;79658;4,14;829,77;422;84560;4,40;880,83
199;336;79994;3,50;833,27;360;84920;3,75;884,58
200;446;80440;4,65;837,92;417;85337;4,34;888,93
201;393;80833;4,09;842,01;415;85752;4,32;893,25
202;396;81229;4,13;846,14;416;86168;4,33;897,58
203;392;81621;4,08;850,22;416;86584;4,33;901,92
204;394;82015;4,10;854,32;416;87000;4,33;906,25
205;383;82398;3,99;858,31;411;87411;4,28;910,53
206;394;82792;4,10;862,42;416;87827;4,33;914,86
207;388;83180;4,04;866,46;416;88243;4,33;919,20
208;393;83573;4,09;870,55;416;88659;4,33;923,53
209;392;83965;4,08;874,64;420;89079;4,38;927,91
210;391;84356;4,07;878,71;413;89492;4,30;932,21
211;395;84751;4,11;882,82;413;89905;4,30;936,51
212;392;85143;4,08;886,91;418;90323;4,35;940,86
213;394;85537;4,10;891,01;417;90740;4,34;945,21
