2023-12-18 13:04:45.163303410+00:00 - START TIME
2023-12-18 13:04:45.164378638+00:00 - BEGIN BUILDING APP AND TEST APK
2023-12-18 13:04:45.169863075+00:00 - STARTING EMULATOR FOR MUTANT 27173
2023-12-18 13:05:30.182726312+00:00 - BEGIN INSTALLING APP AND TEST APK
2023-12-18 13:05:32.452561211+00:00 - END INSTALLING TEST APK
2023-12-18 13:05:32.454392806+00:00 - BEGIN RUNNING MUTANT 27173
2023-12-18 13:10:12.646424598+00:00 - END RUNNING MUTANT 27173
2023-12-18 13:10:12.647713923+00:00 - STOPING EMULATOR FOR MUTANT 27173
2023-12-18 13:10:22.649908885+00:00 - END TIME
