2024-04-24 17:12:42.455533717+01:00 - END BUILDING MUTANT APK CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:12:42.456551303+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:12:42.770904020+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:16:55.236815954+01:00 - END RUNNING MUTANT CategoryMenuTask_3_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:16:55.240052097+01:00 - BEGIN RUNNING MUTANT CategoryMenuTask_4_InvalidViewFocusOperatorMutator
2024-04-24 17:16:55.247731553+01:00 - BEGIN BUILDING MUTANT APK CategoryMenuTask_4_InvalidViewFocusOperatorMutator
2024-04-24 17:16:58.284576379+01:00 - END BUILDING MUTANT APK CategoryMenuTask_4_InvalidViewFocusOperatorMutator
2024-04-24 17:16:58.285564983+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_4_InvalidViewFocusOperatorMutator
2024-04-24 17:16:58.639861651+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_4_InvalidViewFocusOperatorMutator
2024-04-24 17:21:15.419259616+01:00 - END RUNNING MUTANT CategoryMenuTask_4_InvalidViewFocusOperatorMutator
2024-04-24 17:21:15.426861354+01:00 - BEGIN RUNNING MUTANT CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:21:15.436000725+01:00 - BEGIN BUILDING MUTANT APK CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:21:18.257461469+01:00 - END BUILDING MUTANT APK CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:21:18.258399967+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:21:18.514988956+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:25:22.462427658+01:00 - END RUNNING MUTANT CategoryMenuTask_5_ViewComponentNotVisibleOperatorMutator
2024-04-24 17:25:22.465634730+01:00 - BEGIN RUNNING MUTANT CategoryMenuTask_6_BinaryMutator
2024-04-24 17:25:22.473192421+01:00 - BEGIN BUILDING MUTANT APK CategoryMenuTask_6_BinaryMutator
2024-04-24 17:25:25.397634096+01:00 - END BUILDING MUTANT APK CategoryMenuTask_6_BinaryMutator
2024-04-24 17:25:25.398649874+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_6_BinaryMutator
