2023-12-06	16:16:12.405151688+00:00	 -	END RUNNING MUTANT 3002
2023-12-06	16:16:12.409177487+00:00	 -	STOPPING EMULATOR FOR MUTANT 3002
2023-12-06	16:16:22.415934851+00:00	 -	STARTING EMULATOR FOR MUTANT 4002
2023-12-06	16:16:58.427486273+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:16:59.177701716+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:16:59.179006868+00:00	 -	BEGIN RUNNING MUTANT 4002
2023-12-06	16:22:09.282041868+00:00	 -	END RUNNING MUTANT 4002
2023-12-06	16:22:09.283373164+00:00	 -	STOPPING EMULATOR FOR MUTANT 4002
2023-12-06	16:22:19.288179848+00:00	 -	STARTING EMULATOR FOR MUTANT 4
2023-12-06	16:22:55.302669022+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:22:56.135356467+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:22:56.136617505+00:00	 -	BEGIN RUNNING MUTANT 4
2023-12-06	16:28:04.977972395+00:00	 -	END RUNNING MUTANT 4
2023-12-06	16:28:04.978948009+00:00	 -	STOPPING EMULATOR FOR MUTANT 4
2023-12-06	16:28:14.983729744+00:00	 -	STARTING EMULATOR FOR MUTANT 1004
2023-12-06	16:28:50.995519996+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:28:52.214388345+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:28:52.215625508+00:00	 -	BEGIN RUNNING MUTANT 1004
2023-12-06	16:34:00.363919097+00:00	 -	END RUNNING MUTANT 1004
2023-12-06	16:34:00.365177211+00:00	 -	STOPPING EMULATOR FOR MUTANT 1004
2023-12-06	16:34:10.369170572+00:00	 -	STARTING EMULATOR FOR MUTANT 5
2023-12-06	16:34:46.380188568+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:34:47.494784109+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:34:47.496008822+00:00	 -	BEGIN RUNNING MUTANT 5
2023-12-06	16:36:18.320105315+00:00	 -	END RUNNING MUTANT 5
2023-12-06	16:36:18.321483812+00:00	 -	STOPPING EMULATOR FOR MUTANT 5
2023-12-06	16:36:28.326332927+00:00	 -	STARTING EMULATOR FOR MUTANT 1005
2023-12-06	16:37:04.338097204+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:37:05.188921811+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:37:05.190143004+00:00	 -	BEGIN RUNNING MUTANT 1005
2023-12-06	16:44:43.744402710+00:00	 -	END RUNNING MUTANT 1005
2023-12-06	16:44:43.745385700+00:00	 -	STOPPING EMULATOR FOR MUTANT 1005
2023-12-06	16:44:53.749004425+00:00	 -	STARTING EMULATOR FOR MUTANT 2005
2023-12-06	16:45:29.760004400+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:45:30.634355144+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:45:30.635670425+00:00	 -	BEGIN RUNNING MUTANT 2005
2023-12-06	16:50:38.068372928+00:00	 -	END RUNNING MUTANT 2005
2023-12-06	16:50:38.069341434+00:00	 -	STOPPING EMULATOR FOR MUTANT 2005
2023-12-06	16:50:48.074013055+00:00	 -	STARTING EMULATOR FOR MUTANT 3005
2023-12-06	16:51:24.085025845+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:51:25.205662751+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:51:25.206983649+00:00	 -	BEGIN RUNNING MUTANT 3005
2023-12-06	16:56:24.291083613+00:00	 -	END RUNNING MUTANT 3005
2023-12-06	16:56:24.292127540+00:00	 -	STOPPING EMULATOR FOR MUTANT 3005
2023-12-06	16:56:34.295734052+00:00	 -	STARTING EMULATOR FOR MUTANT 4005
2023-12-06	16:57:10.307870372+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	16:57:11.181422623+00:00	 -	END INSTALLING TEST APK
2023-12-06	16:57:11.182576806+00:00	 -	BEGIN RUNNING MUTANT 4005
2023-12-06	17:02:07.955500172+00:00	 -	END RUNNING MUTANT 4005
2023-12-06	17:02:07.956761651+00:00	 -	STOPPING EMULATOR FOR MUTANT 4005
2023-12-06	17:02:17.961321481+00:00	 -	STARTING EMULATOR FOR MUTANT 5005
2023-12-06	17:02:53.972956034+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:02:55.037488639+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:02:55.038678521+00:00	 -	BEGIN RUNNING MUTANT 5005
2023-12-06	17:08:06.018310346+00:00	 -	END RUNNING MUTANT 5005
2023-12-06	17:08:06.019296807+00:00	 -	STOPPING EMULATOR FOR MUTANT 5005
2023-12-06	17:08:16.023823359+00:00	 -	STARTING EMULATOR FOR MUTANT 6005
2023-12-06	17:08:52.033032897+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:08:52.996058524+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:08:52.997238983+00:00	 -	BEGIN RUNNING MUTANT 6005
2023-12-06	17:13:59.620941749+00:00	 -	END RUNNING MUTANT 6005
2023-12-06	17:13:59.621882657+00:00	 -	STOPPING EMULATOR FOR MUTANT 6005
2023-12-06	17:14:09.625443633+00:00	 -	STARTING EMULATOR FOR MUTANT 7005
2023-12-06	17:14:45.636658712+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:14:46.324221400+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:14:46.325435050+00:00	 -	BEGIN RUNNING MUTANT 7005
2023-12-06	17:16:15.875154671+00:00	 -	END RUNNING MUTANT 7005
2023-12-06	17:16:15.876144304+00:00	 -	STOPPING EMULATOR FOR MUTANT 7005
2023-12-06	17:16:25.880813192+00:00	 -	STARTING EMULATOR FOR MUTANT 8005
2023-12-06	17:17:01.891703180+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:17:02.656568023+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:17:02.657954990+00:00	 -	BEGIN RUNNING MUTANT 8005
2023-12-06	17:18:37.147067679+00:00	 -	END RUNNING MUTANT 8005
2023-12-06	17:18:37.148114732+00:00	 -	STOPPING EMULATOR FOR MUTANT 8005
2023-12-06	17:18:47.151748622+00:00	 -	STARTING EMULATOR FOR MUTANT 9005
2023-12-06	17:19:23.162995899+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:19:23.538490088+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:19:23.539667395+00:00	 -	BEGIN RUNNING MUTANT 9005
2023-12-06	17:24:30.973449112+00:00	 -	END RUNNING MUTANT 9005
2023-12-06	17:24:30.974432598+00:00	 -	STOPPING EMULATOR FOR MUTANT 9005
2023-12-06	17:24:40.978080222+00:00	 -	STARTING EMULATOR FOR MUTANT 10005
2023-12-06	17:25:16.989469010+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:25:17.845209313+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:25:17.846432893+00:00	 -	BEGIN RUNNING MUTANT 10005
2023-12-06	17:26:48.717974200+00:00	 -	END RUNNING MUTANT 10005
2023-12-06	17:26:48.719297597+00:00	 -	STOPPING EMULATOR FOR MUTANT 10005
2023-12-06	17:26:58.724180996+00:00	 -	STARTING EMULATOR FOR MUTANT 11005
2023-12-06	17:27:34.735695210+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:27:35.768012450+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:27:35.769326421+00:00	 -	BEGIN RUNNING MUTANT 11005
2023-12-06	17:29:07.053479007+00:00	 -	END RUNNING MUTANT 11005
