2024-03-16 11:33:18.841884957+00:00 - START TIME
2024-03-16 11:40:57.476375244+00:00 - END INSTALLING MUTANT APK ExtractService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:41:37.888025387+00:00 - END RUNNING MUTANT ExtractService_0_LengthyGUICreationOperatorMutator
2024-03-16 11:41:37.891082790+00:00 - BEGIN RUNNING MUTANT ExtractService_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:41:37.897857130+00:00 - BEGIN BUILDING MUTANT APK ExtractService_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:41:41.570635707+00:00 - END BUILDING MUTANT APK ExtractService_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:41:41.571669072+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:41:41.858682793+00:00 - END INSTALLING MUTANT APK ExtractService_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:42:22.208339825+00:00 - END RUNNING MUTANT ExtractService_1_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:42:22.214663417+00:00 - BEGIN RUNNING MUTANT ExtractService_2_NullIntentOperatorMutator
2024-03-16 11:42:22.221403116+00:00 - BEGIN BUILDING MUTANT APK ExtractService_2_NullIntentOperatorMutator
2024-03-16 11:42:25.901664289+00:00 - END BUILDING MUTANT APK ExtractService_2_NullIntentOperatorMutator
2024-03-16 11:42:25.902533745+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_2_NullIntentOperatorMutator
2024-03-16 11:42:26.207702321+00:00 - END INSTALLING MUTANT APK ExtractService_2_NullIntentOperatorMutator
2024-03-16 11:43:06.782888385+00:00 - END RUNNING MUTANT ExtractService_2_NullIntentOperatorMutator
2024-03-16 11:43:06.787091532+00:00 - BEGIN RUNNING MUTANT ExtractService_3_InvalidKeyIntentOperatorMutator
2024-03-16 11:43:06.794748376+00:00 - BEGIN BUILDING MUTANT APK ExtractService_3_InvalidKeyIntentOperatorMutator
2024-03-16 11:43:10.555674622+00:00 - END BUILDING MUTANT APK ExtractService_3_InvalidKeyIntentOperatorMutator
2024-03-16 11:43:10.556662071+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_3_InvalidKeyIntentOperatorMutator
2024-03-16 11:43:10.854496330+00:00 - END INSTALLING MUTANT APK ExtractService_3_InvalidKeyIntentOperatorMutator
2024-03-16 11:43:51.347935345+00:00 - END RUNNING MUTANT ExtractService_3_InvalidKeyIntentOperatorMutator
2024-03-16 11:43:51.351891817+00:00 - BEGIN RUNNING MUTANT ExtractService_4_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:43:51.360680347+00:00 - BEGIN BUILDING MUTANT APK ExtractService_4_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:43:54.960834707+00:00 - END BUILDING MUTANT APK ExtractService_4_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:43:54.961900564+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_4_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:43:55.275577526+00:00 - END INSTALLING MUTANT APK ExtractService_4_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:44:35.943642925+00:00 - END RUNNING MUTANT ExtractService_4_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:44:35.946802836+00:00 - BEGIN RUNNING MUTANT ExtractService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:44:35.953667669+00:00 - BEGIN BUILDING MUTANT APK ExtractService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:44:39.547571408+00:00 - END BUILDING MUTANT APK ExtractService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:44:39.548588252+00:00 - BEGIN INSTALLING MUTANT APK ExtractService_5_RandomActionIntentDefinitionOperatorMutator
