Id_Index;ExecTime(s);Mutant
116;170;BrowserUtils_4_LengthyGUIListenerOperatorMutator
117;170;BrowserUtils_5_BuggyGUIListenerOperatorMutator
118;170;BrowserUtils_6_LengthyGUIListenerOperatorMutator
119;170;NoteUtils_0_NullIntentOperatorMutator
120;170;NoteUtils_1_RandomActionIntentDefinitionOperatorMutator
121;169;NoteUtils_2_NullValueIntentPutExtraOperatorMutator
122;174;NoteUtils_3_IntentPayloadReplacementOperatorMutator
123;172;NoteUtils_4_RandomActionIntentDefinitionOperatorMutator
124;170;NoteUtils_5_BuggyGUIListenerOperatorMutator
125;204;NoteUtils_6_LengthyGUIListenerOperatorMutator
126;166;ChecklistUtils_0_BinaryMutator
127;166;ChecklistUtils_1_BinaryMutator
128;169;ChecklistUtils_2_BinaryMutator
129;168;ChecklistUtils_3_BinaryMutator
130;170;ChecklistUtils_4_BinaryMutator
131;172;ChecklistUtils_5_BinaryMutator
132;172;ChecklistUtils_6_BinaryMutator
133;166;ChecklistUtils_7_BinaryMutator
134;168;ChecklistUtils_8_BinaryMutator
135;169;ChecklistUtils_9_BinaryMutator
136;166;ChecklistUtils_10_BinaryMutator
137;167;NetworkUtils_0_BinaryMutator
138;166;NetworkUtils_1_BinaryMutator
139;165;NetworkUtils_2_BinaryMutator
140;167;NetworkUtils_3_BinaryMutator
141;169;SimplenoteMovementMethod_0_BinaryMutator
142;167;MatchOffsetHighlighter_0_BinaryMutator
143;169;MatchOffsetHighlighter_1_BinaryMutator
144;169;MatchOffsetHighlighter_2_BinaryMutator
145;169;MatchOffsetHighlighter_3_BinaryMutator
146;169;MatchOffsetHighlighter_4_BinaryMutator
147;168;MatchOffsetHighlighter_5_BinaryMutator
148;167;MatchOffsetHighlighter_6_BinaryMutator
149;167;MatchOffsetHighlighter_7_BinaryMutator
150;171;MatchOffsetHighlighter_8_BinaryMutator
151;170;MatchOffsetHighlighter_9_BinaryMutator
152;171;MatchOffsetHighlighter_10_BinaryMutator
153;168;DrawableUtils_0_BinaryMutator
154;169;DisplayUtils_0_BinaryMutator
155;168;SimplenoteSignupActivity_0_LengthyGUICreationOperatorMutator
156;167;SimplenoteSignupActivity_1_FindViewByIdReturnsNullOperatorMutator
157;166;SimplenoteSignupActivity_2_InvalidIDFindViewOperatorMutator
158;168;SimplenoteSignupActivity_3_InvalidViewFocusOperatorMutator
159;168;SimplenoteSignupActivity_4_ViewComponentNotVisibleOperatorMutator
160;169;SignupFragment_0_InvalidViewFocusOperatorMutator
161;166;SignupFragment_1_ViewComponentNotVisibleOperatorMutator
162;170;SignupFragment_2_BuggyGUIListenerOperatorMutator
163;167;SignupFragment_3_LengthyGUIListenerOperatorMutator
164;169;SignupFragment_4_BuggyGUIListenerOperatorMutator
165;168;SignupFragment_5_LengthyGUIListenerOperatorMutator
166;169;SimplenoteAuthenticationActivity_0_NullIntentOperatorMutator
167;168;SimplenoteAuthenticationActivity_1_InvalidKeyIntentOperatorMutator
168;169;SimplenoteAuthenticationActivity_2_RandomActionIntentDefinitionOperatorMutator
169;167;SimplenoteAuthenticationActivity_3_NullIntentOperatorMutator
170;168;SimplenoteAuthenticationActivity_4_InvalidKeyIntentOperatorMutator
171;169;SimplenoteAuthenticationActivity_5_RandomActionIntentDefinitionOperatorMutator
172;166;SimplenoteAuthenticationActivity_6_NullValueIntentPutExtraOperatorMutator
173;168;SimplenoteAuthenticationActivity_7_IntentPayloadReplacementOperatorMutator
174;168;SimplenoteAuthenticationActivity_8_RandomActionIntentDefinitionOperatorMutator
175;167;SimplenoteAuthenticationActivity_9_RandomActionIntentDefinitionOperatorMutator
176;168;NoteWidgetLight_0_NullIntentOperatorMutator
177;170;NoteWidgetLight_1_InvalidKeyIntentOperatorMutator
178;168;NoteWidgetLight_2_RandomActionIntentDefinitionOperatorMutator
179;167;NoteWidgetLight_3_NullValueIntentPutExtraOperatorMutator
180;168;NoteWidgetLight_4_IntentPayloadReplacementOperatorMutator
181;168;NoteWidgetLight_5_RandomActionIntentDefinitionOperatorMutator
182;168;NoteWidgetLight_6_RandomActionIntentDefinitionOperatorMutator
183;167;NoteWidgetLight_7_NullIntentOperatorMutator
184;170;NoteWidgetLight_8_InvalidKeyIntentOperatorMutator
185;169;NoteWidgetLight_9_RandomActionIntentDefinitionOperatorMutator
186;168;NoteWidgetLight_10_RandomActionIntentDefinitionOperatorMutator
187;166;NoteWidgetLight_11_NullValueIntentPutExtraOperatorMutator
188;170;NoteWidgetLight_12_IntentPayloadReplacementOperatorMutator
189;168;NoteWidgetLight_13_RandomActionIntentDefinitionOperatorMutator
190;169;NoteWidgetLight_14_RandomActionIntentDefinitionOperatorMutator
191;168;NoteWidgetLight_15_BinaryMutator
192;169;NoteWidgetLight_16_NullIntentOperatorMutator
193;169;NoteWidgetLight_17_InvalidKeyIntentOperatorMutator
194;168;NoteWidgetLight_18_RandomActionIntentDefinitionOperatorMutator
195;169;NoteWidgetLight_19_RandomActionIntentDefinitionOperatorMutator
196;168;NoteWidgetLight_20_NullValueIntentPutExtraOperatorMutator
197;169;NoteWidgetLight_21_IntentPayloadReplacementOperatorMutator
198;168;NoteWidgetLight_22_RandomActionIntentDefinitionOperatorMutator
199;168;NoteWidgetLight_23_NullValueIntentPutExtraOperatorMutator
200;168;NoteWidgetLight_24_IntentPayloadReplacementOperatorMutator
201;169;NoteWidgetLight_25_RandomActionIntentDefinitionOperatorMutator
202;171;BottomSheetDialogBase_0_InvalidViewFocusOperatorMutator
203;168;BottomSheetDialogBase_1_ViewComponentNotVisibleOperatorMutator
204;167;AboutFragment_0_InvalidViewFocusOperatorMutator
205;167;AboutFragment_1_ViewComponentNotVisibleOperatorMutator
206;169;AboutFragment_2_InvalidViewFocusOperatorMutator
207;167;AboutFragment_3_ViewComponentNotVisibleOperatorMutator
208;168;AboutFragment_4_InvalidViewFocusOperatorMutator
209;169;AboutFragment_5_ViewComponentNotVisibleOperatorMutator
210;167;AboutFragment_6_InvalidViewFocusOperatorMutator
211;167;AboutFragment_7_ViewComponentNotVisibleOperatorMutator
212;169;AboutFragment_8_InvalidViewFocusOperatorMutator
213;168;AboutFragment_9_ViewComponentNotVisibleOperatorMutator
214;168;AboutFragment_10_InvalidViewFocusOperatorMutator
215;170;AboutFragment_11_ViewComponentNotVisibleOperatorMutator
216;169;AboutFragment_12_InvalidViewFocusOperatorMutator
217;169;AboutFragment_13_ViewComponentNotVisibleOperatorMutator
218;167;AboutFragment_14_InvalidViewFocusOperatorMutator
219;167;AboutFragment_15_ViewComponentNotVisibleOperatorMutator
220;169;AboutFragment_16_InvalidViewFocusOperatorMutator
221;168;AboutFragment_17_ViewComponentNotVisibleOperatorMutator
222;167;AboutFragment_18_InvalidViewFocusOperatorMutator
223;171;AboutFragment_19_ViewComponentNotVisibleOperatorMutator
224;169;AboutFragment_20_InvalidViewFocusOperatorMutator
225;168;AboutFragment_21_ViewComponentNotVisibleOperatorMutator
226;170;AboutFragment_22_BuggyGUIListenerOperatorMutator
227;168;AboutFragment_23_LengthyGUIListenerOperatorMutator
228;167;AboutFragment_24_BuggyGUIListenerOperatorMutator
229;168;AboutFragment_25_LengthyGUIListenerOperatorMutator
230;171;AboutFragment_26_BuggyGUIListenerOperatorMutator
231;171;AboutFragment_27_LengthyGUIListenerOperatorMutator
232;174;AboutFragment_28_BuggyGUIListenerOperatorMutator
233;172;AboutFragment_29_LengthyGUIListenerOperatorMutator
234;174;AboutFragment_30_InvalidKeyIntentOperatorMutator
235;1029;AboutFragment_31_RandomActionIntentDefinitionOperatorMutator
236;167;AboutFragment_32_RandomActionIntentDefinitionOperatorMutator
237;171;AboutFragment_33_BuggyGUIListenerOperatorMutator
238;171;AboutFragment_34_LengthyGUIListenerOperatorMutator
239;171;AboutFragment_35_BuggyGUIListenerOperatorMutator
240;174;AboutFragment_36_LengthyGUIListenerOperatorMutator
241;172;AboutFragment_37_BuggyGUIListenerOperatorMutator
242;167;AboutFragment_38_LengthyGUIListenerOperatorMutator
243;169;AboutFragment_39_BuggyGUIListenerOperatorMutator
244;169;AboutFragment_40_LengthyGUIListenerOperatorMutator
245;171;AboutFragment_41_BuggyGUIListenerOperatorMutator
246;170;AboutFragment_42_LengthyGUIListenerOperatorMutator
247;170;AboutFragment_43_BinaryMutator
248;171;NoteListWidgetLight_0_NullIntentOperatorMutator
249;171;NoteListWidgetLight_1_InvalidKeyIntentOperatorMutator
250;169;NoteListWidgetLight_2_RandomActionIntentDefinitionOperatorMutator
251;169;NoteListWidgetLight_3_NullValueIntentPutExtraOperatorMutator
252;169;NoteListWidgetLight_4_IntentPayloadReplacementOperatorMutator
253;170;NoteListWidgetLight_5_RandomActionIntentDefinitionOperatorMutator
254;169;NoteListWidgetLight_6_RandomActionIntentDefinitionOperatorMutator
255;169;NoteListWidgetLight_7_NullIntentOperatorMutator
256;171;NoteListWidgetLight_8_InvalidKeyIntentOperatorMutator
257;169;NoteListWidgetLight_9_RandomActionIntentDefinitionOperatorMutator
258;169;NoteListWidgetLight_10_NullIntentOperatorMutator
259;172;NoteListWidgetLight_11_InvalidKeyIntentOperatorMutator
260;170;NoteListWidgetLight_12_RandomActionIntentDefinitionOperatorMutator
261;171;NoteListWidgetLight_13_NullValueIntentPutExtraOperatorMutator
262;170;NoteListWidgetLight_14_IntentPayloadReplacementOperatorMutator
