Id_Index;ExecTime(s);Mutant
112;238;WidgetConfigurationActivity_4_ViewComponentNotVisibleOperatorMutator
113;239;WidgetConfigurationActivity_5_FindViewByIdReturnsNullOperatorMutator
114;238;WidgetConfigurationActivity_6_InvalidIDFindViewOperatorMutator
115;239;WidgetConfigurationActivity_7_InvalidViewFocusOperatorMutator
116;240;WidgetConfigurationActivity_8_ViewComponentNotVisibleOperatorMutator
117;238;WidgetConfigurationActivity_9_FindViewByIdReturnsNullOperatorMutator
118;238;WidgetConfigurationActivity_10_InvalidIDFindViewOperatorMutator
119;237;WidgetConfigurationActivity_11_InvalidViewFocusOperatorMutator
120;240;WidgetConfigurationActivity_12_ViewComponentNotVisibleOperatorMutator
121;239;WidgetConfigurationActivity_13_BuggyGUIListenerOperatorMutator
122;238;WidgetConfigurationActivity_14_InvalidIDFindViewOperatorMutator
123;237;WidgetConfigurationActivity_15_InvalidViewFocusOperatorMutator
124;241;WidgetConfigurationActivity_16_ViewComponentNotVisibleOperatorMutator
125;238;WidgetConfigurationActivity_17_InvalidIDFindViewOperatorMutator
126;238;WidgetConfigurationActivity_18_InvalidViewFocusOperatorMutator
127;239;WidgetConfigurationActivity_19_ViewComponentNotVisibleOperatorMutator
128;238;WidgetConfigurationActivity_20_RandomActionIntentDefinitionOperatorMutator
129;237;WidgetConfigurationActivity_21_NullValueIntentPutExtraOperatorMutator
130;241;WidgetConfigurationActivity_22_IntentPayloadReplacementOperatorMutator
131;239;WidgetConfigurationActivity_23_RandomActionIntentDefinitionOperatorMutator
132;237;WidgetConfigurationActivity_24_RandomActionIntentDefinitionOperatorMutator
133;237;ListWidgetProvider_0_NullIntentOperatorMutator
134;239;ListWidgetProvider_1_InvalidKeyIntentOperatorMutator
135;240;ListWidgetProvider_2_RandomActionIntentDefinitionOperatorMutator
136;238;ListWidgetProvider_3_NullValueIntentPutExtraOperatorMutator
137;241;ListWidgetProvider_4_IntentPayloadReplacementOperatorMutator
138;242;ListWidgetProvider_5_RandomActionIntentDefinitionOperatorMutator
139;239;ListWidgetProvider_6_RandomActionIntentDefinitionOperatorMutator
140;239;ListWidgetProvider_7_NullIntentOperatorMutator
141;240;ListWidgetProvider_8_InvalidKeyIntentOperatorMutator
142;240;ListWidgetProvider_9_RandomActionIntentDefinitionOperatorMutator
143;240;ListWidgetProvider_10_RandomActionIntentDefinitionOperatorMutator
144;241;WidgetProvider_0_NullIntentOperatorMutator
145;238;WidgetProvider_1_InvalidKeyIntentOperatorMutator
146;239;WidgetProvider_2_RandomActionIntentDefinitionOperatorMutator
147;240;WidgetProvider_3_RandomActionIntentDefinitionOperatorMutator
148;240;WidgetProvider_4_NullValueIntentPutExtraOperatorMutator
149;237;WidgetProvider_5_IntentPayloadReplacementOperatorMutator
150;240;WidgetProvider_6_RandomActionIntentDefinitionOperatorMutator
151;242;WidgetProvider_7_NullIntentOperatorMutator
152;241;WidgetProvider_8_InvalidKeyIntentOperatorMutator
153;249;WidgetProvider_9_RandomActionIntentDefinitionOperatorMutator
154;241;WidgetProvider_10_RandomActionIntentDefinitionOperatorMutator
155;243;WidgetProvider_11_NullValueIntentPutExtraOperatorMutator
156;239;WidgetProvider_12_IntentPayloadReplacementOperatorMutator
157;241;WidgetProvider_13_RandomActionIntentDefinitionOperatorMutator
158;241;WidgetProvider_14_NullIntentOperatorMutator
159;245;WidgetProvider_15_InvalidKeyIntentOperatorMutator
160;242;WidgetProvider_16_RandomActionIntentDefinitionOperatorMutator
161;243;WidgetProvider_17_RandomActionIntentDefinitionOperatorMutator
162;240;WidgetProvider_18_NullValueIntentPutExtraOperatorMutator
163;244;WidgetProvider_19_IntentPayloadReplacementOperatorMutator
164;247;WidgetProvider_20_RandomActionIntentDefinitionOperatorMutator
165;253;RecurrenceHelper_0_BinaryMutator
166;2028;RecurrenceHelper_1_BinaryMutator
167;243;DateHelper_0_BinaryMutator
168;240;DateHelper_1_BinaryMutator
169;235;DateHelper_2_BinaryMutator
170;240;DefaultWordCounter_0_BinaryMutator
171;241;BackupHelper_0_NullIntentOperatorMutator
172;246;BackupHelper_1_InvalidKeyIntentOperatorMutator
173;239;BackupHelper_2_RandomActionIntentDefinitionOperatorMutator
174;240;BackupHelper_3_RandomActionIntentDefinitionOperatorMutator
175;239;BackupHelper_4_NullValueIntentPutExtraOperatorMutator
176;242;BackupHelper_5_IntentPayloadReplacementOperatorMutator
177;241;BackupHelper_6_RandomActionIntentDefinitionOperatorMutator
178;239;BackupHelper_7_BinaryMutator
179;240;NotesHelper_0_BinaryMutator
180;237;AppVersionHelper_0_BinaryMutator
181;240;IntentHelper_0_NullIntentOperatorMutator
182;242;IntentHelper_1_InvalidKeyIntentOperatorMutator
183;241;IntentHelper_2_RandomActionIntentDefinitionOperatorMutator
184;241;IntentHelper_3_RandomActionIntentDefinitionOperatorMutator
185;237;IntentHelper_4_RandomActionIntentDefinitionOperatorMutator
186;240;IntentHelper_5_RandomActionIntentDefinitionOperatorMutator
187;239;PermissionsHelper_0_BuggyGUIListenerOperatorMutator
188;239;ONDashClockExtension_0_NullIntentOperatorMutator
189;239;ONDashClockExtension_1_InvalidKeyIntentOperatorMutator
190;238;ONDashClockExtension_2_RandomActionIntentDefinitionOperatorMutator
191;238;ONDashClockExtension_3_RandomActionIntentDefinitionOperatorMutator
192;240;ONDashClockExtension_4_BinaryMutator
193;237;ONDashClockExtension_5_BinaryMutator
194;240;ONDashClockExtension_6_BinaryMutator
195;237;ONDashClockExtension_7_BinaryMutator
196;239;StatsActivity_0_LengthyGUICreationOperatorMutator
197;236;ShortcutActivity_0_LengthyGUICreationOperatorMutator
198;243;ShortcutActivity_1_NullIntentOperatorMutator
199;240;ShortcutActivity_2_InvalidKeyIntentOperatorMutator
200;243;ShortcutActivity_3_RandomActionIntentDefinitionOperatorMutator
201;242;ShortcutActivity_4_RandomActionIntentDefinitionOperatorMutator
202;239;ShortcutActivity_5_NullIntentOperatorMutator
203;241;ShortcutActivity_6_RandomActionIntentDefinitionOperatorMutator
204;239;ShortcutActivity_7_NullValueIntentPutExtraOperatorMutator
205;241;ShortcutActivity_8_IntentPayloadReplacementOperatorMutator
206;240;ShortcutActivity_9_RandomActionIntentDefinitionOperatorMutator
207;249;ShortcutActivity_10_NullValueIntentPutExtraOperatorMutator
208;235;ShortcutActivity_11_IntentPayloadReplacementOperatorMutator
209;239;ShortcutActivity_12_RandomActionIntentDefinitionOperatorMutator
210;237;ShortcutActivity_13_NullValueIntentPutExtraOperatorMutator
211;238;ShortcutActivity_14_IntentPayloadReplacementOperatorMutator
212;242;ShortcutActivity_15_RandomActionIntentDefinitionOperatorMutator
213;242;SnoozeActivity_0_LengthyGUICreationOperatorMutator
214;239;SnoozeActivity_1_BinaryMutator
215;242;SnoozeActivity_2_BinaryMutator
216;244;SnoozeActivity_3_BinaryMutator
217;243;SnoozeActivity_4_NullIntentOperatorMutator
218;242;SnoozeActivity_5_InvalidKeyIntentOperatorMutator
219;244;SnoozeActivity_6_RandomActionIntentDefinitionOperatorMutator
220;242;SnoozeActivity_7_NullValueIntentPutExtraOperatorMutator
221;243;SnoozeActivity_8_IntentPayloadReplacementOperatorMutator
222;241;SnoozeActivity_9_RandomActionIntentDefinitionOperatorMutator
223;243;SnoozeActivity_10_RandomActionIntentDefinitionOperatorMutator
224;472;MainActivity_0_LengthyGUICreationOperatorMutator
225;240;MainActivity_1_RandomActionIntentDefinitionOperatorMutator
226;242;MainActivity_2_RandomActionIntentDefinitionOperatorMutator
227;245;MainActivity_3_NullIntentOperatorMutator
228;246;MainActivity_4_RandomActionIntentDefinitionOperatorMutator
229;243;MainActivity_5_RandomActionIntentDefinitionOperatorMutator
230;249;MainActivity_6_RandomActionIntentDefinitionOperatorMutator
231;1029;MainActivity_7_RandomActionIntentDefinitionOperatorMutator
232;238;MainActivity_8_RandomActionIntentDefinitionOperatorMutator
233;237;MainActivity_9_NullValueIntentPutExtraOperatorMutator
234;239;MainActivity_10_IntentPayloadReplacementOperatorMutator
235;241;MainActivity_11_RandomActionIntentDefinitionOperatorMutator
236;236;MainActivity_12_RandomActionIntentDefinitionOperatorMutator
237;239;MainActivity_13_RandomActionIntentDefinitionOperatorMutator
238;242;MainActivity_14_RandomActionIntentDefinitionOperatorMutator
239;239;MainActivity_15_RandomActionIntentDefinitionOperatorMutator
240;240;MainActivity_16_NullValueIntentPutExtraOperatorMutator
241;241;MainActivity_17_IntentPayloadReplacementOperatorMutator
242;239;MainActivity_18_RandomActionIntentDefinitionOperatorMutator
243;240;MainActivity_19_NullValueIntentPutExtraOperatorMutator
244;239;MainActivity_20_IntentPayloadReplacementOperatorMutator
245;244;MainActivity_21_RandomActionIntentDefinitionOperatorMutator
246;470;NavigationDrawerFragment_0_LengthyGUICreationOperatorMutator
247;242;NavigationDrawerFragment_1_InvalidViewFocusOperatorMutator
248;167;NavigationDrawerFragment_2_ViewComponentNotVisibleOperatorMutator
249;238;NavigationDrawerFragment_3_InvalidViewFocusOperatorMutator
250;223;NavigationDrawerFragment_4_ViewComponentNotVisibleOperatorMutator
251;240;NavigationDrawerFragment_5_BinaryMutator
252;241;AboutActivity_0_LengthyGUICreationOperatorMutator
253;241;AboutActivity_1_FindViewByIdReturnsNullOperatorMutator
254;239;AboutActivity_2_InvalidIDFindViewOperatorMutator
255;239;AboutActivity_3_InvalidViewFocusOperatorMutator
256;236;AboutActivity_4_ViewComponentNotVisibleOperatorMutator
257;252;AboutActivity_5_FindViewByIdReturnsNullOperatorMutator
258;241;AboutActivity_6_InvalidIDFindViewOperatorMutator
259;239;AboutActivity_7_InvalidViewFocusOperatorMutator
260;238;AboutActivity_8_ViewComponentNotVisibleOperatorMutator
261;236;AboutActivity_9_BuggyGUIListenerOperatorMutator
262;238;PasswordActivity_0_LengthyGUICreationOperatorMutator
263;242;PasswordActivity_1_BinaryMutator
264;242;PasswordActivity_2_BinaryMutator
265;240;PasswordActivity_3_FindViewByIdReturnsNullOperatorMutator
266;239;PasswordActivity_4_InvalidIDFindViewOperatorMutator
267;241;PasswordActivity_5_InvalidViewFocusOperatorMutator
268;239;PasswordActivity_6_ViewComponentNotVisibleOperatorMutator
269;240;PasswordActivity_7_FindViewByIdReturnsNullOperatorMutator
270;242;PasswordActivity_8_InvalidIDFindViewOperatorMutator
271;240;PasswordActivity_9_InvalidViewFocusOperatorMutator
272;242;PasswordActivity_10_ViewComponentNotVisibleOperatorMutator
273;244;PasswordActivity_11_FindViewByIdReturnsNullOperatorMutator
274;242;PasswordActivity_12_InvalidIDFindViewOperatorMutator
275;242;PasswordActivity_13_InvalidViewFocusOperatorMutator
276;239;PasswordActivity_14_ViewComponentNotVisibleOperatorMutator
277;240;PasswordActivity_15_FindViewByIdReturnsNullOperatorMutator
278;240;PasswordActivity_16_InvalidIDFindViewOperatorMutator
279;243;PasswordActivity_17_InvalidViewFocusOperatorMutator
280;242;PasswordActivity_18_ViewComponentNotVisibleOperatorMutator
281;244;PasswordActivity_19_FindViewByIdReturnsNullOperatorMutator
282;242;PasswordActivity_20_InvalidIDFindViewOperatorMutator
283;243;PasswordActivity_21_InvalidViewFocusOperatorMutator
284;242;PasswordActivity_22_ViewComponentNotVisibleOperatorMutator
285;244;PasswordActivity_23_FindViewByIdReturnsNullOperatorMutator
286;244;PasswordActivity_24_InvalidIDFindViewOperatorMutator
287;239;PasswordActivity_25_InvalidViewFocusOperatorMutator
288;244;PasswordActivity_26_ViewComponentNotVisibleOperatorMutator
